ho,newx,newy,pixelx,pixely,xoff,yoff,pitch,roll
63.6630843838,1802.57609687,1140.18656507,1813.24188538,1123.14729813,-133.423903126,155.813434927,62.62,-0.54
63.1648962008,2871.67606949,1214.60471689,2882.99574035,1187.48626414,935.67606949,81.3952831053,62.62,-0.54
62.9202241315,1971.50957391,1251.15324177,1983.2136804,1232.51690953,35.5095739132,44.8467582325,62.62,-0.54
64.2662415535,1757.24381705,1050.08839864,1767.06247626,1033.48037357,-178.756182945,245.911601358,62.62,-0.54
62.9678521928,2888.64040302,1244.0386766,2900.23672487,1216.75903388,952.640403019,51.9613234003,62.62,-0.54
62.7032667881,1988.3830764,1283.56180758,2000.3918725,1264.76500933,52.3830763988,12.4381924187,62.62,-0.54
64.0454623161,1773.58595353,1083.06786979,1783.71470653,1066.30436128,-162.414046467,212.932130205,62.62,-0.54
62.7825062576,2904.82685429,1271.72520633,2916.68339278,1244.29178253,968.826854286,24.2747936656,62.62,-0.54
62.5020671752,2004.50702379,1313.61652155,2016.79835859,1294.6664261,68.5070237871,-17.616521548,62.62,-0.54
63.8403137853,1789.20650032,1113.7124636,1799.62337377,1096.80037607,-146.79349968,182.287536396,62.62,-0.54
